,n,i,x,z,u,q,h,e,o,5,m,3,v,d,6,4,8,s,9,a,f,r,7,p,j,2,k,0,l,g,w,b,1,y,c,t
n,1599,113,5,37,95,7,40,53,71,6,32,22,30,15,0,15,5,26,2,75,10,25,19,10,29,6,71,26,35,17,103,11,33,6,27,21
i,63,1915,5,52,69,12,25,26,19,10,22,22,27,43,1,9,23,46,12,58,33,76,45,21,37,8,45,13,141,28,66,40,94,7,41,84
x,1,2,95,1,3,0,1,0,3,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,0,1,1,1
z,3,12,0,116,4,0,0,1,1,0,1,1,1,1,0,1,1,0,0,6,0,4,3,1,0,8,1,2,3,0,2,1,6,1,1,2
u,7,6,4,11,890,8,4,4,23,6,8,8,7,14,1,2,2,18,1,12,6,21,12,12,25,0,8,17,15,18,23,17,19,4,16,16
q,0,0,0,1,8,33,0,2,3,0,0,1,0,0,1,0,0,0,2,0,0,0,1,5,2,0,2,2,1,0,3,1,1,0,1,0
h,5,7,1,17,22,7,582,7,5,3,13,5,3,5,0,12,2,19,2,11,5,12,5,15,8,2,38,2,32,2,11,5,9,2,29,18
e,68,45,15,279,75,30,27,2518,16,17,23,151,47,60,1,4,15,69,23,70,26,92,34,42,34,19,62,17,100,26,26,55,86,2,58,76
o,33,42,5,18,32,19,18,9,1397,12,36,11,8,24,1,3,11,24,6,24,16,47,13,21,24,2,22,213,34,11,29,24,48,2,62,28
5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,46,14,7,14,30,0,5,19,17,2,621,13,4,5,2,4,2,8,3,18,4,11,3,7,9,2,15,6,14,3,101,2,40,7,2,4
3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,1,12,1,7,1,2,2,4,7,1,3,2,287,0,0,1,0,1,0,6,2,1,2,0,6,1,1,2,6,1,9,1,1,7,4,1
d,26,16,3,31,50,4,5,52,11,13,1,17,4,761,5,9,2,4,1,96,4,8,1,1,10,5,10,13,18,5,15,150,16,1,14,10
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,37,58,2,157,68,12,18,167,30,17,12,78,10,26,3,7,55,2118,3,53,18,59,12,10,22,4,32,31,47,18,20,17,45,7,25,38
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,47,30,7,28,84,12,22,30,11,9,23,21,14,56,3,148,19,21,11,1868,22,64,25,21,17,33,56,13,58,18,32,26,55,5,54,26
f,5,10,1,10,6,1,0,8,4,1,0,4,2,1,0,1,0,2,0,6,333,30,38,13,3,1,2,1,26,2,2,0,3,1,2,5
r,10,20,8,59,45,27,8,97,34,16,3,37,8,18,1,21,19,13,13,253,21,1574,33,29,24,8,25,17,45,11,9,16,134,3,29,43
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
p,16,17,4,11,19,130,2,16,10,3,13,11,2,6,0,6,5,9,37,26,15,6,7,630,10,5,6,4,14,6,10,0,20,4,8,3
j,0,1,0,2,7,0,1,1,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,0,43,1,1,0,1,0,0,1,1,1,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
k,6,3,22,2,12,1,1,5,5,1,0,3,2,0,0,2,2,3,0,14,0,3,1,0,5,2,218,2,6,0,3,0,7,1,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
l,8,20,5,27,68,12,14,27,31,8,6,11,8,39,0,14,10,15,2,54,16,15,10,12,12,7,27,12,1146,13,10,31,240,6,17,8
g,60,39,1,10,30,2,5,16,19,20,3,9,7,5,0,6,12,5,3,12,6,14,4,3,8,7,10,7,14,655,9,5,18,5,66,5
w,2,1,0,1,8,2,3,5,10,1,2,4,3,4,0,2,0,2,0,5,1,6,1,2,6,2,5,3,5,1,263,1,17,0,0,1
b,5,5,0,12,20,2,5,6,5,4,4,8,4,85,3,6,44,3,5,58,3,10,2,4,6,1,9,7,9,13,4,461,4,0,2,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0
y,3,4,4,3,11,1,3,5,6,1,3,6,21,7,0,2,1,8,1,12,5,10,6,4,5,2,6,5,34,6,4,4,21,376,5,8
c,17,43,4,17,33,0,4,24,16,12,7,16,1,5,1,7,6,12,1,29,12,35,9,1,17,2,15,7,28,5,3,2,14,5,1124,2
t,43,42,5,45,57,8,7,47,22,9,11,22,5,16,0,19,13,75,1,60,40,210,91,17,18,9,25,13,42,0,21,7,39,9,33,1454
