,4,q,f,e,r,k,b,i,6,1,p,l,d,a,2,z,o,j,y,s,v,x,m,w,0,g,c,t,u,9,5,n,h,7,3,8
4,16,0,0,1,0,0,0,14,0,0,0,5,0,3,1,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
q,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
f,0,0,92,1,7,0,0,24,0,0,0,8,0,5,0,0,7,0,1,1,0,0,4,1,2,0,1,5,0,0,0,0,5,0,0,0
e,0,0,34,385,33,4,8,133,0,1,9,70,7,16,1,0,5,0,1,14,14,0,18,15,0,2,38,34,1,0,0,21,16,0,1,0
r,0,0,4,24,305,1,1,76,0,0,5,36,4,14,0,0,19,0,2,9,1,0,21,4,2,1,8,10,10,0,1,20,7,0,0,0
k,0,0,0,1,2,63,1,13,0,0,0,10,0,2,2,0,0,0,0,1,2,1,2,1,0,0,5,4,0,0,0,3,5,0,0,0
b,0,0,0,3,8,0,88,32,0,0,1,17,0,6,0,0,2,0,0,2,0,0,6,1,0,0,1,3,2,0,0,2,2,0,1,2
i,0,0,1,6,15,4,5,331,0,2,3,108,4,10,1,0,8,0,2,7,3,0,11,6,0,1,16,20,1,0,0,28,6,0,0,0
6,0,0,0,0,0,0,0,3,23,2,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0
1,0,0,0,0,3,0,0,24,0,43,0,18,0,1,1,0,0,0,0,4,0,0,3,2,2,0,1,0,0,1,0,1,1,2,1,0
p,0,0,1,5,1,0,0,26,0,0,117,7,3,3,0,0,4,0,1,3,1,0,6,0,1,0,2,3,2,0,0,1,0,0,0,0
l,0,0,0,7,2,2,4,94,0,4,4,177,2,14,0,0,7,1,1,5,2,0,5,3,1,0,12,9,2,0,0,6,2,0,1,0
d,0,0,0,7,5,0,0,49,0,1,1,12,137,12,1,0,14,0,1,3,1,0,8,1,2,0,7,3,2,0,0,5,1,0,1,0
a,0,0,4,11,14,1,6,126,0,0,0,59,5,414,1,0,13,1,4,12,1,0,26,16,0,3,31,22,0,0,0,24,7,0,0,2
2,0,0,2,1,2,0,0,24,0,1,0,9,0,1,50,0,2,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0
z,0,0,1,0,1,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0
o,0,0,0,4,16,2,7,95,0,0,2,45,8,7,0,0,340,1,6,4,4,0,24,8,28,1,23,16,1,0,0,16,9,0,0,0
j,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
y,0,0,1,5,2,0,2,16,0,1,1,13,1,5,0,0,2,0,77,1,0,0,1,2,0,0,6,4,0,0,0,3,1,0,0,0
s,0,0,1,23,5,0,2,80,0,0,2,42,5,19,1,0,5,1,0,288,1,0,10,3,2,0,28,5,2,0,0,5,3,0,0,0
v,0,0,2,7,3,0,0,16,0,0,0,10,1,6,0,0,0,0,1,1,57,0,2,2,0,0,2,1,0,0,0,1,1,0,0,0
x,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,1,0,0,2,1,0,0,0,0,0,0,0,0
m,0,0,1,4,7,0,0,38,0,0,0,16,0,6,1,0,5,0,0,0,8,0,132,4,1,0,5,6,0,0,2,16,2,0,0,0
w,0,0,0,5,2,0,0,32,0,0,0,10,2,4,0,0,4,0,1,6,1,0,16,89,0,1,3,0,1,0,0,4,2,0,0,0
0,0,0,0,0,1,0,0,18,0,2,0,7,0,1,6,0,32,0,0,1,0,0,4,0,17,0,3,2,0,0,3,3,1,1,2,2
g,0,0,0,6,5,0,0,41,0,1,1,20,1,6,0,0,2,0,1,2,0,0,4,0,0,30,48,6,2,0,0,23,2,0,0,0
c,0,0,1,5,5,1,0,51,0,0,1,29,0,6,0,0,3,0,0,3,0,0,11,3,0,0,183,7,1,0,0,4,1,0,0,0
t,0,0,0,19,14,1,0,92,0,0,3,47,4,22,0,0,6,0,2,8,2,0,15,5,4,0,8,320,3,0,0,16,7,0,0,0
u,0,0,0,1,1,0,4,33,0,0,3,57,1,1,0,0,11,0,2,5,0,1,6,2,0,1,7,7,80,0,0,4,2,0,0,0
9,1,0,0,2,0,0,0,5,1,0,0,4,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,25,2,0,0,0,0,0
5,0,0,0,0,2,0,0,11,1,3,0,2,0,1,1,0,2,0,0,2,0,0,2,0,0,0,3,0,0,1,20,0,0,0,2,0
n,0,0,1,7,17,4,1,110,0,1,0,49,2,29,2,0,18,0,1,3,1,0,9,6,3,2,19,13,0,0,0,265,6,0,0,0
h,0,0,4,6,2,0,0,42,0,0,0,22,0,10,0,0,1,0,0,4,0,0,4,7,1,1,8,17,0,0,0,3,167,0,0,0
7,0,0,0,0,1,0,1,9,1,2,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,1,1
3,0,0,0,0,2,0,0,18,1,1,0,6,0,2,4,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,1,39,0
8,1,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,17
